MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135057018907,18.16,0.13,192.42624,34.82466,54807.48652,0
1135057018907,18.46,0.14,192.42641,34.82461,54807.49194,0
1135057018907,18.60,0.16,192.42612,34.82485,54807.49729,0
1135057018907,18.46,0.13,192.42633,34.82500,54499.40274,0
1135057018907,18.60,0.14,192.42615,34.82464,54499.40820,0
1135057018907,18.43,0.13,192.42623,34.82464,54499.41372,0
1135057018907,18.41,0.13,192.42641,34.82478,54499.41924,0
1135057018907,18.47,0.16,192.42629,34.82486,54507.34681,0
1135057018907,18.65,0.17,192.42633,34.82483,54507.35434,0
1135057018907,18.89,0.19,192.42608,34.82489,54507.36188,0
1135057018907,18.79,0.17,192.42620,34.82496,54507.36939,0
1135057018907,18.89,0.17,192.42622,34.82545,54514.29336,0
1135057018907,19.08,0.18,192.42604,34.82481,54514.29934,0
1135057018907,18.77,0.16,192.42666,34.82470,54514.30532,0
1135057018907,18.27,0.13,192.42614,34.82504,54514.31131,0
1135057018907,18.83,0.16,192.42617,34.82487,54626.23685,0
1135057018907,18.28,0.13,192.42619,34.82468,54626.24417,0
1135057018907,18.41,0.13,192.42605,34.82485,54626.25154,0
1135057018907,18.46,0.14,192.42629,34.82491,54626.25889,0
1135057018907,18.43,0.14,192.42613,34.82471,54640.20916,0
1135057018907,18.60,0.15,192.42619,34.82470,54640.21567,0
1135057018907,18.63,0.15,192.42628,34.82479,54640.22223,0
1135057018907,18.46,0.14,192.42643,34.82486,54640.22882,0
1135057018907,18.73,0.15,192.42650,34.82469,54527.29211,0
1135057018907,18.67,0.14,192.42622,34.82485,54527.29869,0
1135057018907,18.49,0.13,192.42619,34.82480,54527.30528,0
1135057018907,18.79,0.15,192.42634,34.82487,54527.31184,0
1135057018907,18.53,0.14,192.42639,34.82491,54532.50872,0
1135057018907,18.56,0.14,192.42634,34.82472,54535.45010,0
1135057018907,18.78,0.15,192.42609,34.82463,54535.45741,0
1135057018907,18.63,0.14,192.42642,34.82491,54535.46477,0
1135057018907,18.53,0.14,192.42620,34.82477,54535.47206,0
1135057018907,18.56,0.15,192.42625,34.82453,54549.44819,0
1135057018907,19.18,0.21,192.42642,34.82495,54549.45512,0
1135057018907,18.14,0.13,192.42617,34.82471,54549.46227,0
1135057018907,18.08,0.13,192.42598,34.82479,54549.46928,0
1135057018907,18.56,0.14,192.42623,34.82477,54594.34801,0
1135057018907,18.59,0.14,192.42619,34.82472,54594.35456,0
1135057018907,18.65,0.14,192.42631,34.82479,54594.36109,0
1135057018907,18.45,0.13,192.42672,34.82488,54594.36768,0
1135057018907,18.66,0.15,192.42629,34.82476,54923.21452,0
1135057018907,18.13,0.12,192.42651,34.82520,54923.22003,0
1135057018907,18.35,0.13,192.42659,34.82471,54923.22550,0
1135057018907,18.45,0.13,192.42630,34.82473,54923.23093,0
1135057018907,18.53,0.13,192.42646,34.82490,54942.23817,0
1135057018907,18.50,0.13,192.42613,34.82475,54942.24365,0
1135057018907,18.76,0.15,192.42612,34.82482,54942.24917,0
1135057018907,18.55,0.14,192.42635,34.82472,54942.25474,0
1135057018907,18.55,0.13,192.42635,34.82477,54888.33360,0
1135057018907,18.60,0.14,192.42617,34.82478,54888.34210,0
1135057018907,18.67,0.14,192.42630,34.82484,54888.35065,0
